name	all_genes
Rare gynecologic or obstetric disease	FSHR;PTPRF;KCTD1;TBX3;TP63;ACTB;MNX1;HOXA13;WT1;WNT4;AR;HSD17B3;CYB5A;CYP17A1;CYP11A1;STAR;HSD3B2;POR;SRD5A2;BDNF;PAX6;DHH;HHAT;SOX9;ATRX;ERAL1;HSD17B4;TWNK;HARS2;CLPP;LARS2;RSPO1;CYP19A1;CYP21A2;NR3C1;CYP11B1;NR5A1;MRPS22;BMP15;PSMC3IP;NUP107;SPIDR;SRY;NR0B1;DMRT1;CBX2;MAP3K1;DMRT3;WWOX;ZFPM2;GATA4;VAMP7;MCM9;H6PD;HSD11B1;ESR1;HTR1A;AIRE;ATM;FOXL2;FMR1;NSMCE2;XRCC4;GALT;GNAS;KISS1R;MKRN3;DLK1;SEMA3E;CHD7;HBB;PNPLA6;SNRPN;SNORD115@;MAGEL2;NDN;SNORD116@;SIM1;RNF216;RAB3GAP1;RAB3GAP2;RBM28;SMCHD1;DCAF17;BBS1;BBS10;BBS2;BBS4;BBS5;BBS7;BBS9;CEP290;TRIM32;TTC8;ARL6;MKKS;MKS1;NPHP1;BBS12;SDCCAG8;WDPCP;LZTFL1;IFT172;BBIP1;IFT27;C8ORF37;DMXL2;POLR3B;POLR1C;POLR3A;OCA2;LEPR;LEP;PCSK1;SOX3;PROP1;POU1F1;HESX1;OTX2;LHX4;GLI2;CCDC141;PROK2;PROKR2;SOX10;FGFR1;ANOS1;NSMF;FGF8;WDR11;HS6ST1;SEMA3A;IL17RD;FGF17;DUSP6;SPRY4;FLRT3;FEZF1;DCC;TACR3;GNRHR;GNRH1;TAC3;KISS1;FSHB;YWHAE;JAZF1;SUZ12;NUTM2A;NUTM2B;PTEN;RAD51;BRCA1;BRCA2;BRIP1;CHEK2;TP53;MRE11;NBN;PALB2;BARD1;RAD51C;RAD50;RAD51D;XRCC2;KLLN;RAD54L;PPM1D;SLC22A18;INHBA;SMARCA4;DICER1;NLRP7;KHDC3L;CD46;CFH;CFI;HELLPAR;HADHA;FLT1;STOX1;CORIN;NR1H4;ABCB11;ABCB4;ATP8B1;NR3C2;TSHR
Rare endocrine disease	CYP24A1;SLC34A1;FGF23;GALNT3;KL;SAMD9;CASR;GNA11;AP2S1;MEN1;CDKN1B;CDKN1A;CDKN2B;CDKN2C;CDC73;GCM2;PTH;AIRE;MT-ATP8;RRM2B;MT-TL1;TBX1;ARVCF;GP1BB;UFD1;COMT;HIRA;JMJD1C;RREB1;SEC24C;TBCE;GATA3;HADHA;FAM111A;GNAS;STX16;SLC34A3;DMP1;ENPP1;PHEX;CLCN5;OCRL;CYP27B1;CYP2R1;VDR;INSR;SLC16A1;HNF4A;KCNJ11;ABCC8;UCP2;HNF1A;HADH;GLUD1;GCK;DMPK;RRAS;PTPN11;BRAF;SOS1;KRAS;RAF1;NRAS;KAT6B;RIT1;LZTR1;A2ML1;RASA2;SOS2;CNBP;ABCD1;LMNA;DCAF17;BRCC3;GPR101;PRLR;AVP;BTNL2;HLA-DRB1;SLC11A1;HBB;HBA2;HBA1;TBXT;CTNNB1;CDH23;AIP;USP8;TBX19;GH1;GHRHR;POU1F1;RNPC3;GHSR;FSHB;TSHB;WDR11;ROBO1;PROKR2;HESX1;LHX4;CDON;GPR161;SOX3;PROP1;OTX2;GLI2;RBM28;GLI3;UBR1;SOX2;FGFR1;ARNT2;PTCH1;SHH;SIX3;TGIF1;ZIC2;TDGF1;FOXH1;FGF8;DISP1;NODAL;DLL1;GAS1;PITX2;FOXC1;LHX3;NFKB2;SEMA3E;CHD7;PNPLA6;SNRPN;SNORD115@;MAGEL2;NDN;SNORD116@;SIM1;RNF216;RAB3GAP1;RAB3GAP2;SMCHD1;BBS1;BBS10;BBS2;BBS4;BBS5;BBS7;BBS9;CEP290;TRIM32;TTC8;ARL6;MKKS;MKS1;NPHP1;BBS12;SDCCAG8;WDPCP;LZTFL1;IFT172;BBIP1;IFT27;C8ORF37;DMXL2;POLR3B;POLR1C;POLR3A;OCA2;LEPR;LEP;PCSK1;NR0B1;CCDC141;PROK2;SOX10;ANOS1;KISS1R;NSMF;HS6ST1;SEMA3A;IL17RD;FGF17;DUSP6;SPRY4;FLRT3;FEZF1;DCC;TACR3;GNRHR;GNRH1;TAC3;KISS1;SDHD;ATRX;DAXX;NR5A1;MRPS22;FSHR;BMP15;PSMC3IP;NUP107;SPIDR;SOX9;SRY;MCM9;WNT4;ERAL1;HSD17B4;TWNK;HARS2;CLPP;LARS2;RSPO1;CYP19A1;CYP21A2;NR3C1;HSD3B2;CYP11B1;POR;WT1;DHH;DMRT1;CBX2;MAP3K1;DMRT3;WWOX;ZFPM2;GATA4;VAMP7;BDNF;PAX6;TSPYL1;HHAT;ARX;MAMLD1;MTM1;AMH;AMHR2;AR;LHB;LHCGR;AKR1C2;AKR1C4;HSD17B3;CYB5A;CYP17A1;CYP11A1;STAR;DHCR7;SRD5A2;FMR1;RPS6KA3;DEAF1;RAI1;FLII;IQSEC2;VPS13B;ALMS1;PHF6;MEG3;DLK1;RTL1;SH2B1;HDAC8;LAS1L;CREBBP;EP300;TRAPPC9;PCNT;PRMT7;AFF4;MEGF8;RAB23;INPP5E;KIDINS220;EIF2S3;CEP19;POMC;MC4R;IARS2;DUOX2;THRB;THRA;TRH;IGSF1;TRHR;FOXE1;NKX2-1;SLC26A4;TSHR;NKX2-5;PAX8;SLC5A5;TPO;DUOXA2;TG;IYD;SECISBP2;SLC16A2;KCNJ10;FOXI1;PTRH2;MKRN3;ATM;FOXL2;NSMCE2;XRCC4;GALT;IGFALS;GHR;STAT5B;IGF1;IGF1R;CAVIN1;PPARG;BSCL2;AGPAT2;CAV1;FOS;PSMB8;BANF1;PIK3R1;POLD1;KCNJ6;ZMPSTE24;PLIN1;LIPE;CIDEC;AKT2;LMNB2;PRKAR1A;PDE4D;STAT1;LRBA;FOXP3;VHL;SDHB;SDHC;RET;ESR2;NTRK1;SERPINA6;HSD11B2;ARMC5;PDE11A;PDE8B;PRKACA;TP53;CDKN2A;MDM2;CHEK2;CYP11B2;KCNJ5;CACNA1D;H6PD;HSD11B1;EPAS1;KIF1B;MDH2;SDHA;FH;SDHAF2;TMEM127;MAX;PEX2;PEX1;PEX10;PEX12;PEX13;PEX14;PEX16;PEX19;PEX26;PEX3;PEX5;PEX6;PEX11B;TRAPPC11;AAAS;GMPPA;MC2R;MRAP;TXNRD2;NNT;SGPL1;CDKN1C;KEAP1;DICER1;EIF1AX;CCDC6;TFG;TPR;TRIM24;TRIM27;TRIM33;ERC1;GOLGA5;HRAS;PCM1;ETV6;ALK;NTRK3;NCOA4;DIRC3;NDUFA13;GAS8-AS1;LPAR4;MINPP1;HABP2;PTF1A;STAT3;PDX1;INS;HYMAI;PLAGL1;ZFP57;PRSS1;CFTR;SPINK1;PRSS2;CTRC;CPA1;EIF2AK3;GATA6;MT-TE;IER3IP1;MT-TK;DNAJC3;SLC19A2;PPP1R15B;TRMT10A;CEL;KLF11;NEUROD1;PAX4;BLK;APPL1;HNF1B;SLC29A3;WFS1;CISD2;APOE;LIPC;APOC3;CETP;LPL;APOC2;GPIHBP1;LMF1;APOA5;CREB3L3;CYP7A1;TMEM199;CCDC115;ABCG5;ABCG8;APOB;LDLR;LDLRAP1;PCSK9;APOA1;ABCA1;LCAT;MTTP;SAR1B;CYP27A1;LIPA
Rare ophthalmic disorder	MT-TQ;MT-CO1;MT-CO2;MT-CO3;MT-ND1;MT-ND4;MT-ND5;MT-ND6;MT-TL1;MT-TW;MT-TH;MT-TS1;MT-TS2;MT-TF;CIT;NCAPD3;COPB2;KIF14;TAF13;PYCR2;CDK5RAP2;CENPJ;ASPM;MCPH1;STIL;WDR62;CEP152;CEP63;CEP135;KNL1;PHC1;CDK6;SASS6;MFSD2A;ANKLE2;GFAP;SPATA5;DOCK7;EMC1;DIAPH1;TELO2;GNB1;GBA;LAMA1;PNKP;SLC30A9;FXN;ATM;COL25A1;CHN1;MAFB;APTX;PLP1;SETX;PIK3R5;GLB1;LMNB1;ATXN1;ATXN2;CEP290;CC2D2A;TMEM216;TMEM237;TMEM138;ZNF423;TMEM231;CEP120;PIBF1;TCTN2;AHI1;TMEM67;MKS1;ARL13B;INPP5E;TCTN1;B9D1;CEP41;CPLANE1;CSPP1;KIAA0586;CEP104;KIAA0556;ARMC9;HYLS1;ARL3;RPGRIP1L;OFD1;KIF7;TCTN3;PDE6D;KIAA0753;NPHP1;ATP7B;NPC1;NPC2;MAPT;ATP13A2;ATXN7;NDUFA13;SDHA;SLC19A3;SURF1;COX15;NDUFAF2;NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS7;NDUFS8;NDUFV1;NDUFV2;PDHA1;NDUFAF5;NDUFAF6;TACO1;FOXRED1;NDUFA2;NDUFA10;NDUFA9;MTFMT;LIPT1;PET100;NDUFA4;ECHS1;NDUFA12;COQ2;PDSS2;NDUFAF3;NDUFB8;SCO2;LRPPRC;SLC38A8;PAX6;MMP19;FZD5;SALL2;ABCB6;CLCN7;TCIRG1;TNFSF11;SNX10;PAX2;SRD5A3;SIX6;IGBP1;MT-ATP6;MT-CYB;MT-ND2;MT-ND4L;MT-ND3;ACO2;RTN4IP1;MT-TP;MT-TK;MT-RNR1;WFS1;CISD2;ANTXR1;KIF1A;ZNHIT3;PROKR2;SOX2;FGFR1;HESX1;OTX2;SOX3;ARNT2;PSAP;GALC;ATP1A3;TMEM126A;FA2H;UCHL1;C19ORF12;ARSA;ISCA2;NR2F1;NBAS;POLR3A;MECR;HIKESHI;TBCD;ATAD3A;FLNA;C19ORF70;OPA3;TIMM8A;PLAA;ZNF592;WDR73;PCLO;OPA2;SPG7;PRPS1;C12ORF65;FLRT1;KLC2;IBA57;TFG;OPA1;DNM1L;TUBA8;MT-ATP8;RRM2B;DMPK;HTT;SLC2A3;PABPN1;RNASEH1;MYH2;ALG2;DPAGT1;GFPT1;ALG14;GMPPB;MGME1;TNFRSF11A;CTLA4;HLA-DQA1;POLG;TYMP;DMD;LTBP4;CHAT;AGRN;SLC25A1;SNAP25;SYT2;MYO9A;SLC5A7;VAMP1;SLC18A3;COL13A1;RAPSN;SCN4A;CHRNA1;CHRNB1;CHRND;CHRNE;DOK7;MUSK;LRP4;AK9;COLQ;LAMB2;TK2;POLG2;SLC25A4;TWNK;MT-TL2;MT-TN;MCOLN1;FMR1;TCOF1;POLR1D;POLR1C;PEX2;PEX1;PEX10;PEX12;PEX13;PEX14;PEX16;PEX19;PEX26;PEX3;PEX5;PEX6;PEX11B;AGK;ROBO3;PLXND1;REV3L;NDP;AP1S2;SIL1;INPP5K;SALL4;SLC25A24;RMRP;PIGL;ALX4;ADAT3;CCDC174;LARGE1;POMGNT1;POMT1;POMT2;FKTN;FKRP;B3GALNT2;EMX2;SIX3;SHH;COL4A1;PTCH1;MFRP;TMEM98;PRSS56;MYO5A;PHOX2A;KIF21A;TUBB3;TUBB2B;SYT1;SLC45A2;TYR;NAGA;SLC9A6;SLC35C1;FERMT3;ITGB2;PHOX2B;RET;ASCL1;FGFR3;FGFR2;TWIST1;ERF;FREM1;ZIC1;TCF12;RS1;LTBP2;VSX1;ZEB1;COL8A2;OVOL2;GRHL2;TRIM44;FOXC1;CYP1B1;PITX2;FOXE3;VHL;OCRL;CBS;BDNF;WT1;LMX1B;COL11A1;GNAQ;B3GLCT;TRIP13;BUB1B;CEP57;BUB1;BUB3;CANT1;XYLT1;COL9A1;COL9A2;COL9A3;BCOR;HCCS;COX7B;NDUFB11;RNU4ATAC;ADAMTS10;FBN1;PIK3R1;CREBBP;EP300;COL2A1;GNA11;GUSB;ARSB;IDS;GALNS;HYAL1;SGSH;NAGLU;HGSNAT;GNS;IDUA;MYOC;TEK;SLC24A5;LRMDA;TYRP1;OCA2;MC1R;GPR143;MITF;LYST;AP3B1;DTNBP1;BLOC1S3;HPS3;HPS5;HPS6;HPS1;HPS4;BLOC1S6;MLPH;RAB27A;ACTG1;CHM;CRB1;TIMP3;GUCA1A;PRPH2;GUCY2D;CYP4V2;TEAD1;PNPLA6;PLK4;TUBGCP6;TUBGCP4;KIF11;ADAMTS18;RGS9BP;RGS9;ASAH1;CTSA;ALDH3A2;ALMS1;CDH3;COL18A1;CNNM4;ATIC;KCTD7;TINF2;PANK2;ABCC6;ENPP1;MFSD8;CLN6;CLN5;CTSD;PPT1;CLN8;TPP1;CLN3;DNAJC5;GRN;CTSF;RBP4;HEXA;HEXB;MT-TE;MAPKAPK3;ITM2B;SMPD1;SCARB2;CP;KCNJ13;APC;PCYT1A;AGXT;NEU1;CLDN19;CWC27;TTPA;MTTP;PHYH;PEX7;VPS13B;ABHD12;ERCC2;ERCC6;ERCC5;ERCC1;IFT140;IFT172;IFT122;WDR35;IFT43;WDR19;IFT52;RPGR;BEST1;INVS;IQCB1;NPHP3;NPHP4;SDCCAG8;CEP164;TRAF3IP1;BBS1;BBS10;BBS2;BBS4;BBS5;BBS7;BBS9;TRIM32;TTC8;ARL6;MKKS;BBS12;WDPCP;LZTFL1;BBIP1;IFT27;C8ORF37;HADHA;ERCC4;ERCC3;CEP78;CLRN1;HARS;USH2A;ADGRV1;MYO7A;WHRN;PDZD7;USH1K;CDH23;USH1C;USH1G;PCDH15;USH1E;USH1H;CIB2;RDH11;GGCX;EXOSC2;ERCC8;MMACHC;CACNA1F;SCAPER;IFT88;REEP6;ARHGEF18;AGBL5;ABCA4;PRCD;PRPF3;PRPF31;PRPF8;RDH12;RGR;RHO;RLBP1;ROM1;RP1;RP2;RP9;RPE65;SAG;CA4;CERKL;TULP1;CNGA1;CRX;FSCN2;IMPDH1;MERTK;NR2E3;NRL;PDE6A;PDE6B;SEMA4A;CNGB1;TOPORS;PROM1;LRAT;EYS;IDH3B;SPATA7;GUCA1B;KLHL7;SNRNP200;PCARE;PDE6G;IMPG2;FAM161A;ZNF513;CDHR1;DHDDS;PRPF6;MAK;RBP3;ZNF408;ARL2BP;NEK2;TUB;KIZ;SLC7A14;PRPF4;AHR;PITPNM3;OPN1MW;NMNAT1;RIMS1;RPGRIP1;CNGA3;AIPL1;OPN1LW;RAX2;CACNA2D4;ADAM9;UNC119;RAB28;POC1B;DRAM2;TTLL5;ATF6;PDE6C;GNAT2;CNGB3;GDF6;RD3;LCA5;KCNV2;MIR204;C1QTNF5;ELOVL4;RP1L1;DHS6S1;CTNNA1;RCBTB1;IMPG1;CABP4;GNAT1;GRM6;NYX;TRPM1;SLC24A1;GPR179;LRIT3;GRK1;GNB3;RDH5;PLA2G5;CFI;CFH;EFEMP1;PDE6H;NOTCH3;TREX1;CAPN5;IGFBP7;CTC1;STN1;CTNNB1;FZD4;LRP5;TSPAN12;CENPF;IKBKG;DAG1;ISPD;POMGNT2;RXYLT1;B4GAT1;POMK;XYLT2;VCAN;ATOH7;CYBB;NCF1;NCF2;CYBA;NCF4;IL10;HLA-B;FAS;UBAC2;IL23R;MEFV;STAT4;C4A;IL12A;TLR4;CCR1;KLRC4;IL12A-AS1;ERAP1;BTNL2;HLA-DRB1;NLRC4;NLRP3;NOD2;PTPN22;IL2RA;CD247;PTPN2;ANKRD55;IL2RB;HLA-A;RFC2;BAZ1B;TBL2;CLIP2;ELN;GTF2I;GTF2IRD1;LIMK1;SEMA5A;CTNND2;RB1;DHCR7;CTDP1;RRAS;PTPN11;BRAF;SOS1;KRAS;RAF1;NRAS;KAT6B;RIT1;LZTR1;A2ML1;RASA2;SOS2;SF3B4;PPP1CB;SHOC2;PAX3;UBE3B;FOXL2;MID1;SPECC1L;SMC1A;NIPBL;SMC3;HDAC8;RAD21;KMT2A;SETD5;MTM1;LIG4;NSUN2;CNBP;FLI1;PHF6;ACTB;DBH;ZNF462;KIF1BP;TFAP2B;ZFHX4;CTNND1;CDH1;KMT2D;KDM6A;RAP1A;RAP1B;DHODH;TWIST2;XPA;XPC;DDB2;POLH;SULT2B1;SDR9C7;ABCA12;ALOX12B;ALOXE3;TGM1;CYP4F22;NIPAL4;LIPN;SERPINB8;CSTA;PNPLA1;CERS3;PHGDH;PSAT1;FRAS1;FREM2;GRIP1;TP63;RIPK4;IRF6;FOXC2;EDA;EDA2R;ELP1;TRAPPC11;AAAS;GMPPA;EDAR;EDARADD;WNT10A;TRAF6;KDF1;FGF10;NFKBIA;IGSF3;DKC1;TERT;TERC;NOP10;NHP2;USB1;WRAP53;RTEL1;PARN;HGD;HSPG2;SLC39A13;P4HB;SEC24D;COL1A1;COL1A2;P3H1;CRTAP;PPIB;CREB3L1;SERPINH1;FKBP10;SERPINF1;WNT1;BMP1;TMEM38B;SP7;SPARC;H19;IGF2;PLOD1;CDKN1C;B3GALT6;SLITRK6;CRIM1;NAA10;SMOC1;BMP4;HMX1;STRA6;RARB;RAB3GAP1;RAB3GAP2;RAB18;TBC1D20;MAB21L2;VSX2;GDF3;TENM3;YAP1;JAG1;NOTCH2;ITPR1;KERA;PKP1;PLEC;TAT;COL7A1;LAMB3;LAMC2;LAMA3;MMP1;TGFBI;UBIAD1;CHST6;PIKFYVE;DCN;NLRP1;COL17A1;TACSTD2;KRT12;KRT3;STS;SLC4A11;PYCR1;CTNS;ALDH18A1;ZNF469;PRDM5;LCAT;POLA1;GSN;TCF4;AGBL1;GJB2;GJB6;MIR184;TGFBR2;GJA8;CHRDL1;ORAI1;STIM1;HHAT;PTEN;ACVRL1;SMAD4;ENG;GDF2;PLG;CRYAA;CRYBB2;HSF4;MIP;NHS;LIM2;EPHA2;FYCO1;CRYGB;GCNT2;LSS;LEMD2;SIPA1L3;CASK;NF2;CEP55;TMEM107;B9D2;NSD1;SETD2;APC2;PTH;AIRE;WRN;NOTCH1;ARHGAP31;DOCK6;RBPJ;EOGT;DLL4;PMPCA;LONP1;FTL;CRYBA4;CRYGC;CRYGD;CRYBB1;MAF;EPG5;KCTD1;SLC16A12;GCM2;SMCHD1;GJA1;ZBTB20;RSPO2;WNT3;GFER;CASR;PXDN;SLC33A1;MED25;GJB4;GJB3;KDSR;IARS2;PITX3;NACC1;MIPEP;MSMO1;MPLKIP;GTF2H5;RNF113A;GTF2E2;SEC23A;PTH1R;AGGF1;RASA1;LMNA;ZMPSTE24;CYP51A1;FAM126A;ATP6V1B2;TBC1D24;NSD2;NELFA;LETM1;TBR1;SUMF1;GLA;MVK;CYP27A1;OAT;MAN2B1;FAR1;CLPB;SC5D;ALG8;ABHD5;GALE;GALK1;GALT;COL4A3;COL4A4;COL4A5;ESCO2;AGPS;GNPAT;EBP;GNAS;RECQL4;ADAMTSL4;PORCN;ASPH;SUOX;ADAMTS17;SEMA3E;CHD7;P3H2;LRPAP1;OPN1SW;NF1;MYCN;CYSLTR2;BAP1;SF3B1
Rare surgical thoracic disease	MYOD1;RAPSN;DOK7;MUSK;GLE1;LAMA3;STRA6;RARB;MIR17HG;MYCN;MID1;SPECC1L;SLC2A10;MYH11;COL3A1;COL5A1;TGFBR2;FBN1;SMAD3;NKX2-5;GATA5;NOTCH1;SMAD6;ACTA2;TGFBR1;FOXE3;LOX;MAT2A;ELN;TGFB3;MYLK;PRKG1;MFAP5;TGFB2;FLNA;NSD2;NELFA;LETM1;SMC1A;NIPBL;SMC3;HDAC8;RAD21;KMT2A;SETD5;GPC3;GPC4;LRP2;KMT2D;KDM6A;RAP1A;RAP1B;TNXB;PLAT;COL5A2;COL1A1;GORAB;PYCR1;RIN2;LTBP4;EFEMP2;ATP7A;ALDH18A1;FBLN5;ATP6V0A2;ATP6V1E1;ATP6V1A;ZFPM2;GATA6
Rare respiratory disease	NFKBIA;SMARCA4;DICER1;RB1;TP53;TP73;SARS2;EIF2AK4;BMPR2;ACVRL1;TBX4;ENG;CAV1;SMAD9;KCNK3;HLA-B;LAMA3;STRA6;RARB;MYOD1;RAPSN;DOK7;MUSK;GLE1;TCTN3;NEK9;DYNC2LI1;IFT80;DYNC2H1;TTC21B;WDR19;IFT140;WDR60;IFT172;WDR34;CEP120;GLI1;EVC;EVC2;IFT122;WDR35;IFT43;IFT52;CSPP1;KIAA0586;TRAF3IP1;NEK1;CFTR;TGFB1;DCTN4;CLCA4;STX1A;SERPINA1;TSPYL1;ZFPM2;GATA6;FLCN;DNAH1;PIH1D3;DNAJB13;TTC25;MCIDAS;OFD1;DNAH11;DNAH5;DNAI1;NME8;DNAI2;DNAAF2;RSPH9;RSPH4A;DNAAF1;CCDC39;CCDC40;DNAL1;DNAAF3;CCDC103;DNAAF5;HYDIN;LRRC6;CCDC114;DRC1;ARMC4;DNAAF4;RSPH1;ZMYND10;CFAP298;CCDC65;SPAG1;CCNO;CCDC151;RSPH3;GAS8;RPGR;STK36;CFAP300;MUCL3;MUC5B;SLC11A1;HLA-DRB1;CTGF;IRF5;KIAA0319L;CCR6;ITCH;VPS33A;SCNN1A;SCNN1B;SCNN1G;SFTPC;HLA-DPA1;HLA-DPB1;CTLA4;PTPN22;PRTN3;NPC1;NPC2;GBA;SCARB2;TSC1;TSC2;FAM111B;SFTPA1;DSP;TERT;TERC;SFTPA2;RTEL1;FAM13A;STN1;ATP11A;DPP9;PARN;ABCA3;BTNL2;ITGA3;SFTPB;CSF2RB;CSF2RA;OAS1;NKX2-1;MARS;FOXF1;COPA;CYBB;NCF1;NCF2;CYBA;NCF4;NOD2;HPS1;HPS4;SMPD1;CASR;GNA11;AP2S1;C1R;STAT4;SPP1;IRAK1;IL2RA;CD247;PTPN2;ANKRD55;IL2RB;MIF;IL6;LACC1;BRAF
